Gene,Dn,Ds,Pn,Ps,Pn.1,Ps.1,Pn.2,Ps.2,Pn.3,Ps.3,Pn.4,Ps.4,Pn.5,Ps.5,Pn.6,Ps.6,Pn.7,Ps.7,Pn.8,Ps.8,Pn.9,Ps.9
LSAA_13261,30,66,7,9,7,9,6,9,6,9,6,9,6,9,6,9,6,9,6,9,6,9
LSAA_13262,31,111,5,9,5,9,2,8,2,6,1,5,1,5,1,5,1,5,1,5,1,5
LSAA_13265,70,232,5,8,4,8,1,5,1,3,1,3,1,3,1,3,1,3,1,3,1,3
LSAA_13267,6,20,3,5,3,5,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1
LSAA_13268,104,229,4,17,4,17,3,9,3,9,2,7,1,5,1,5,1,4,1,4,1,4
LSAA_13269,67,158,10,12,10,12,3,4,3,4,3,4,2,4,2,4,2,4,2,4,2,4
LSAA_1327,3,12,1,2,1,2,1,2,0,2,0,2,0,1,0,1,0,1,0,0,0,0
LSAA_13270,47,43,1,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_13271,6,19,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,0
LSAA_13273,56,110,3,10,3,10,2,5,1,3,1,3,1,2,1,2,1,2,1,2,1,2
LSAA_13274,14,34,11,14,11,14,4,8,3,7,2,6,2,6,2,6,2,5,2,4,1,2
LSAA_13276,5,32,0,5,0,5,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1
LSAA_13277,36,51,9,11,9,11,8,5,7,4,3,3,3,1,3,1,3,1,3,0,2,0
LSAA_13278,2,1,9,2,9,2,4,1,2,1,2,0,2,0,2,0,1,0,1,0,0,0
LSAA_1328,9,43,4,9,4,9,4,3,3,1,2,1,2,1,2,1,1,1,1,0,0,0
LSAA_13280,37,49,9,11,9,10,4,3,3,2,3,2,3,2,3,2,3,2,3,2,3,2
LSAA_13281,45,89,3,8,3,8,2,3,1,2,1,2,0,2,0,2,0,1,0,1,0,1
LSAA_13283,7,23,2,7,2,7,1,6,0,5,0,3,0,3,0,3,0,2,0,1,0,1
LSAA_13284,13,30,2,6,2,6,2,4,2,3,2,3,2,3,2,3,2,3,2,3,2,3
LSAA_13287,6,39,2,3,2,3,2,2,0,2,0,2,0,1,0,1,0,1,0,0,0,0
LSAA_13288,1,7,4,5,4,5,1,3,1,3,1,2,1,1,1,1,1,1,1,1,1,1
LSAA_1329,20,109,3,12,3,12,3,8,2,4,2,3,2,2,2,2,2,2,1,2,1,1
LSAA_13291,2,13,1,3,1,3,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
LSAA_13293,50,54,5,12,5,12,2,7,2,5,2,4,2,3,2,3,2,3,1,3,1,3
LSAA_13294,88,292,6,27,5,25,2,15,2,12,2,12,2,11,2,11,2,11,2,11,2,10
LSAA_13295,23,39,1,3,1,3,0,2,0,2,0,1,0,1,0,1,0,0,0,0,0,0
LSAA_13296,43,47,2,2,2,2,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0
LSAA_13299,6,6,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
LSAA_1330,10,8,3,4,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LSAA_13306,14,57,4,4,4,4,1,3,1,3,0,3,0,3,0,3,0,3,0,3,0,3
LSAA_13309,17,51,1,4,1,4,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
LSAA_13311,20,72,3,28,3,28,3,9,3,7,3,5,3,5,3,5,3,3,3,3,2,1
LSAA_13313,53,88,9,12,9,12,5,4,3,3,2,3,2,3,2,3,1,3,1,3,1,2
LSAA_13314,17,44,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
LSAA_13315,42,79,3,9,3,9,1,5,0,3,0,3,0,3,0,3,0,3,0,3,0,3
LSAA_13316,73,88,4,4,3,4,3,2,3,1,3,1,3,1,3,1,3,1,3,1,1,0
LSAA_13317,32,69,3,1,3,1,2,0,2,0,2,0,2,0,2,0,1,0,1,0,1,0
LSAA_13321,4,61,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
LSAA_13323,13,32,1,4,1,4,0,2,0,2,0,1,0,1,0,1,0,1,0,1,0,1
LSAA_13324,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_13325,7,57,0,8,0,8,0,4,0,3,0,3,0,3,0,3,0,1,0,1,0,1
LSAA_13326,20,45,1,12,1,11,1,3,1,2,1,2,1,2,1,2,1,2,1,2,1,2
LSAA_13329,20,71,0,3,0,3,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0
LSAA_13330,8,56,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5
LSAA_13331,23,29,8,7,8,7,3,4,2,3,2,3,2,3,2,3,1,2,0,2,0,2
LSAA_13332,22,97,2,7,2,7,2,7,1,7,0,4,0,4,0,4,0,1,0,1,0,1
LSAA_13336,39,49,9,12,9,10,6,5,5,3,4,2,4,2,4,2,3,1,2,1,0,0
LSAA_13337,94,122,5,11,5,11,4,4,3,4,3,1,3,1,3,1,3,1,1,1,1,0
LSAA_13338,24,44,6,11,5,11,1,6,1,6,0,2,0,2,0,2,0,0,0,0,0,0
LSAA_13340,33,118,20,9,20,9,9,7,9,6,4,3,3,3,3,3,3,3,2,2,2,0
LSAA_13341,4,13,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LSAA_13342,61,64,5,3,5,3,4,3,4,2,2,1,1,1,1,1,0,1,0,1,0,1
LSAA_13345,4,4,14,4,14,2,9,2,7,0,7,0,2,0,2,0,2,0,1,0,1,0
LSAA_13346,11,67,0,10,0,10,0,7,0,5,0,5,0,5,0,5,0,5,0,3,0,3
LSAA_13347,31,74,9,9,8,9,5,7,5,6,5,6,5,4,5,4,5,4,4,4,4,4
LSAA_13348,11,67,1,3,1,3,1,3,1,3,1,3,0,2,0,2,0,2,0,2,0,2
LSAA_1335,9,9,2,3,2,3,1,3,1,3,1,3,1,3,1,3,1,3,1,2,1,2
LSAA_13352,43,142,10,32,10,32,5,23,3,15,3,13,3,9,3,9,3,8,3,7,3,6
LSAA_13354,25,29,7,0,3,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
LSAA_13355,2,2,3,6,3,6,3,2,3,1,3,1,3,1,3,1,3,1,3,1,2,0
LSAA_13357,8,20,1,6,1,6,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,1
LSAA_13358,15,75,4,4,4,4,3,3,2,2,0,2,0,2,0,2,0,0,0,0,0,0
LSAA_1336,11,43,3,4,3,4,2,4,2,4,2,4,1,3,1,3,1,3,1,3,1,2
LSAA_13360,59,114,7,20,7,20,4,10,4,6,4,4,4,3,4,3,3,1,3,1,3,1
LSAA_13361,12,21,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0
LSAA_13363,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_13364,13,24,3,1,3,1,2,1,2,0,1,0,1,0,1,0,1,0,1,0,0,0
LSAA_13367,31,46,5,0,4,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0
LSAA_13368,37,99,2,8,2,8,2,6,2,6,2,6,2,5,2,5,2,5,2,5,2,5
LSAA_13369,26,51,4,18,4,18,2,7,2,6,2,4,2,4,2,4,2,4,2,4,2,3
LSAA_1337,24,65,1,5,1,5,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
LSAA_13371,36,27,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_13373,15,28,0,2,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
LSAA_13376,63,205,4,5,4,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5
LSAA_13378,1,46,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,0
LSAA_13379,9,50,2,6,2,5,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0
LSAA_13381,14,81,1,4,1,4,0,3,0,2,0,2,0,2,0,2,0,2,0,1,0,1
LSAA_13382,17,106,9,19,9,19,8,16,7,13,6,9,2,5,2,5,2,5,1,4,0,2
LSAA_13384,7,4,0,9,0,9,0,3,0,3,0,1,0,1,0,1,0,1,0,1,0,1
LSAA_13387,42,81,23,21,21,19,8,11,7,9,5,9,5,9,5,9,3,9,3,8,2,4
LSAA_13388,25,53,18,31,18,30,7,21,6,14,1,12,0,9,0,9,0,7,0,6,0,4
LSAA_13389,10,41,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
LSAA_1339,20,28,3,4,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_13392,21,54,4,3,4,3,2,2,2,2,2,2,1,2,1,2,1,1,1,1,1,1
LSAA_13396,25,81,1,6,1,5,0,2,0,2,0,2,0,2,0,2,0,1,0,1,0,1
LSAA_13398,8,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_13399,56,154,6,19,5,19,2,15,1,11,1,8,0,5,0,5,0,1,0,1,0,1
LSAA_13400,7,16,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
LSAA_13401,82,116,4,9,4,9,3,6,2,5,1,3,1,3,1,3,1,3,1,3,1,2
LSAA_13403,60,181,12,18,12,18,4,9,4,8,4,7,4,7,4,7,4,6,4,6,4,6
LSAA_13405,11,83,23,24,23,24,11,10,10,7,3,4,3,3,3,3,2,3,2,3,2,3
LSAA_13407,4,45,0,3,0,3,0,3,0,2,0,2,0,2,0,2,0,2,0,1,0,1
LSAA_13408,12,57,1,6,0,6,0,3,0,3,0,2,0,2,0,2,0,2,0,1,0,0
LSAA_1341,12,61,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_13410,5,10,0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_13411,16,48,0,3,0,3,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
LSAA_13412,16,60,4,7,4,7,3,4,3,2,3,2,3,2,3,2,3,1,3,1,3,1
LSAA_13413,20,54,10,16,8,16,3,6,0,4,0,4,0,4,0,4,0,4,0,4,0,3
LSAA_13417,11,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_13419,1,6,2,12,2,12,0,9,0,6,0,5,0,4,0,4,0,4,0,3,0,2
LSAA_13420,26,65,0,6,0,6,0,3,0,3,0,3,0,3,0,3,0,3,0,1,0,1
LSAA_13421,61,101,4,10,4,10,2,3,2,3,2,3,2,3,2,3,1,2,1,2,1,2
LSAA_13423,52,54,13,5,13,5,10,4,10,4,9,3,9,3,9,3,9,3,9,3,7,3
LSAA_13426,5,5,10,3,10,2,8,0,7,0,4,0,4,0,4,0,3,0,3,0,2,0
LSAA_13430,20,55,10,6,9,6,7,4,7,3,5,3,4,3,4,3,4,3,3,3,2,1
LSAA_13432,12,10,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_13433,57,119,7,12,7,12,5,10,5,9,5,9,5,9,5,9,3,9,3,9,3,9
LSAA_13437,10,4,4,3,4,3,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
LSAA_1344,12,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LSAA_13443,14,16,4,2,4,2,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2
LSAA_13444,13,47,2,20,2,20,0,7,0,3,0,2,0,1,0,1,0,1,0,1,0,1
LSAA_13446,8,17,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_13448,29,84,5,7,4,7,1,5,1,3,1,1,1,1,1,1,1,1,1,1,1,1
LSAA_1345,9,16,0,7,0,7,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6
LSAA_13454,22,50,8,17,8,17,5,12,2,8,2,7,2,7,2,7,2,4,1,2,1,0
LSAA_13455,39,43,5,16,5,16,4,11,2,9,2,7,2,4,2,4,2,4,1,4,1,2
LSAA_13456,74,217,9,20,9,19,3,15,3,15,1,12,1,12,1,12,1,12,1,11,1,7
LSAA_13459,21,80,14,21,14,21,10,20,10,15,9,13,9,11,9,11,6,8,3,4,3,2
LSAA_1346,18,14,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_13461,4,43,1,4,1,3,1,3,1,2,1,2,1,2,1,2,1,1,0,1,0,0
LSAA_13462,9,5,5,1,5,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
LSAA_13464,8,21,1,4,1,4,1,4,1,1,1,1,1,0,1,0,1,0,1,0,0,0
LSAA_13468,71,171,11,20,11,20,5,15,4,11,4,8,4,5,4,5,4,5,3,4,2,3
LSAA_13470,5,10,3,4,3,4,2,3,2,3,0,1,0,1,0,1,0,0,0,0,0,0
LSAA_13471,3,14,5,3,5,3,3,2,2,1,2,1,2,1,2,1,2,0,2,0,2,0
LSAA_13473,3,15,0,8,0,8,0,3,0,3,0,1,0,1,0,1,0,1,0,1,0,1
LSAA_13474,8,31,5,16,4,15,0,6,0,4,0,4,0,4,0,4,0,3,0,3,0,2
LSAA_13476,20,72,2,11,1,11,1,5,1,3,1,3,1,3,1,3,1,3,1,2,1,1
LSAA_13478,49,107,11,14,10,13,8,7,8,7,8,6,7,6,7,6,6,5,6,5,1,3
LSAA_1348,29,43,1,4,1,4,1,2,1,2,0,2,0,2,0,2,0,2,0,2,0,1
LSAA_13482,22,148,3,16,3,15,2,10,2,9,2,5,1,5,1,5,1,4,1,4,0,3
LSAA_13483,24,69,2,10,2,10,2,5,2,4,1,3,1,1,1,1,0,1,0,1,0,0
LSAA_13485,51,85,15,12,15,12,10,7,5,2,5,2,5,2,5,2,5,2,4,2,4,2
LSAA_13486,14,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_13487,13,29,2,3,2,3,2,0,2,0,2,0,2,0,2,0,1,0,1,0,1,0
LSAA_13489,14,74,8,9,8,9,7,4,7,2,4,1,1,1,1,1,1,1,0,1,0,1
LSAA_1349,10,5,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
LSAA_13493,171,468,22,41,22,40,11,23,6,12,5,7,4,5,4,5,4,5,4,5,4,3
LSAA_13494,16,82,4,3,4,3,3,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1
LSAA_13495,31,17,4,3,4,3,2,1,2,0,1,0,1,0,1,0,1,0,1,0,1,0
LSAA_13497,1,10,8,7,8,7,2,3,2,2,2,2,2,1,2,1,2,1,2,1,1,1
LSAA_1350,53,88,6,5,6,5,5,5,2,2,2,2,2,2,2,2,2,2,2,1,1,1
LSAA_13500,19,29,7,13,7,13,3,7,3,5,3,5,3,3,3,3,3,3,2,2,1,2
LSAA_13502,9,39,0,6,0,6,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_13503,15,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_13504,30,81,1,7,1,7,1,2,1,2,1,2,1,2,1,2,0,2,0,2,0,2
LSAA_13505,12,43,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0
LSAA_13509,48,39,9,4,9,4,8,3,4,2,4,2,4,1,4,1,3,1,1,1,1,1
LSAA_1351,19,25,7,2,6,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
LSAA_13512,12,21,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_13516,6,56,2,4,2,4,1,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0
LSAA_13519,22,36,2,2,2,2,2,2,2,0,2,0,1,0,1,0,1,0,1,0,1,0
LSAA_1352,22,49,1,6,1,6,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
LSAA_13520,8,40,2,4,2,4,0,3,0,3,0,3,0,1,0,1,0,0,0,0,0,0
LSAA_13522,41,117,9,29,8,28,1,15,1,10,0,9,0,8,0,8,0,6,0,6,0,4
LSAA_13524,3,19,0,2,0,2,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0
LSAA_13525,7,23,0,3,0,3,0,3,0,2,0,2,0,2,0,2,0,2,0,1,0,0
LSAA_13527,10,24,0,3,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_13528,23,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_13529,11,32,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
LSAA_1353,9,29,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
LSAA_13530,6,18,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
LSAA_13532,24,92,0,8,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_13535,9,22,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_13536,4,40,0,2,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
LSAA_13537,131,468,9,17,9,17,4,8,4,6,3,4,3,4,3,4,3,4,3,2,3,2
LSAA_13538,40,70,4,5,4,5,2,1,2,1,2,0,2,0,2,0,2,0,2,0,2,0
LSAA_13539,15,64,1,16,0,15,0,7,0,6,0,4,0,3,0,3,0,3,0,3,0,1
LSAA_1354,28,24,3,0,3,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
LSAA_13540,7,11,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
LSAA_13541,2,13,1,3,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_13542,39,213,2,7,2,7,1,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0
LSAA_13543,6,51,3,7,3,7,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_13545,8,21,4,2,4,2,3,1,3,1,3,1,3,1,3,1,3,0,3,0,2,0
LSAA_13546,18,15,3,1,3,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1
LSAA_13547,19,113,1,5,1,4,0,3,0,2,0,2,0,1,0,1,0,1,0,1,0,1
LSAA_13548,43,77,8,4,8,4,3,3,2,3,2,3,2,3,2,3,2,2,2,1,1,1
LSAA_1355,22,35,2,3,2,3,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1
LSAA_13550,36,46,5,21,5,21,4,14,2,7,2,7,2,7,2,7,2,7,2,4,2,4
LSAA_13551,40,61,5,2,5,2,4,2,4,1,3,0,1,0,1,0,1,0,1,0,1,0
LSAA_13553,41,53,0,4,0,4,0,3,0,2,0,2,0,2,0,2,0,2,0,2,0,2
LSAA_13554,29,60,14,8,13,8,10,7,10,7,9,7,9,7,9,7,8,7,6,6,5,6
LSAA_13556,19,69,5,7,5,7,1,5,1,1,1,1,1,1,1,1,1,1,1,1,0,1
LSAA_13557,31,107,13,8,13,8,5,5,5,4,5,4,5,4,5,4,5,4,5,4,4,4
LSAA_13559,40,59,3,10,3,10,2,6,2,6,2,6,1,3,1,3,1,3,1,2,1,0
LSAA_13560,13,20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_13561,22,78,2,1,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
LSAA_13562,19,29,1,4,1,4,0,4,0,4,0,4,0,3,0,3,0,0,0,0,0,0
LSAA_13565,65,177,28,60,24,56,14,36,10,22,10,20,9,17,9,17,8,13,5,11,4,7
LSAA_13566,28,22,3,1,3,1,2,0,2,0,2,0,2,0,2,0,2,0,1,0,0,0
LSAA_13567,6,54,0,10,0,9,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0
LSAA_13569,1,6,0,2,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
LSAA_1357,127,264,12,14,11,14,8,6,6,5,6,5,6,5,6,5,6,5,6,5,3,2
LSAA_13571,25,61,2,12,2,11,1,3,0,2,0,2,0,2,0,2,0,2,0,2,0,1
LSAA_13572,20,94,0,6,0,6,0,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0
LSAA_13573,21,60,3,3,3,3,2,2,1,2,1,2,0,1,0,1,0,1,0,1,0,0
LSAA_13575,82,120,12,6,12,6,7,4,6,2,5,2,5,2,5,2,5,2,5,2,3,1
LSAA_13576,30,128,0,7,0,5,0,2,0,2,0,2,0,2,0,2,0,1,0,0,0,0
LSAA_13579,11,32,1,8,1,8,1,4,0,3,0,3,0,3,0,3,0,2,0,1,0,1
LSAA_13580,9,9,5,2,5,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
LSAA_13582,26,107,0,9,0,9,0,5,0,3,0,3,0,3,0,3,0,3,0,3,0,3
LSAA_13583,4,64,1,7,1,7,1,6,1,5,0,5,0,4,0,4,0,4,0,4,0,3
LSAA_13584,13,72,2,3,2,3,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0
LSAA_13585,26,108,2,6,2,6,2,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
LSAA_13587,39,158,5,12,5,11,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
LSAA_13589,16,35,10,7,10,7,2,3,2,3,2,3,2,3,2,3,2,1,2,1,2,0
LSAA_1359,16,30,2,8,2,8,2,4,2,4,2,2,2,1,2,1,2,1,2,1,2,1
LSAA_13590,34,39,3,3,3,3,2,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0
LSAA_13591,15,33,5,4,5,4,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,2
LSAA_13592,7,14,4,2,4,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
LSAA_13593,13,15,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1
LSAA_13595,7,12,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
LSAA_13598,15,28,4,1,4,1,4,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
LSAA_13599,45,27,9,4,9,4,6,2,6,2,6,2,6,2,6,2,4,2,2,1,2,1
LSAA_13600,22,45,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_13603,8,25,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
LSAA_13604,12,26,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_13609,71,170,4,13,4,13,2,4,2,2,1,1,1,0,1,0,0,0,0,0,0,0
LSAA_13610,24,103,0,9,0,9,0,8,0,7,0,7,0,5,0,5,0,3,0,1,0,1
LSAA_13611,43,71,1,3,1,3,1,2,1,2,0,2,0,2,0,2,0,1,0,1,0,0
LSAA_13614,17,64,2,8,2,7,1,4,1,4,1,4,1,2,1,2,1,2,1,2,1,1
LSAA_13617,13,81,1,13,1,13,0,3,0,1,0,1,0,1,0,1,0,1,0,1,0,1
LSAA_13618,30,91,4,1,4,1,2,1,2,0,2,0,2,0,2,0,2,0,1,0,1,0
LSAA_13619,68,118,15,16,15,16,8,11,2,8,2,7,2,5,2,5,2,5,2,4,2,4
LSAA_1362,15,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_13620,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_13624,1,7,2,3,2,3,2,0,2,0,2,0,2,0,2,0,1,0,1,0,0,0
LSAA_13626,206,621,18,77,18,77,5,43,4,27,4,25,4,24,4,24,2,19,2,16,2,13
LSAA_13630,62,209,9,31,9,29,6,19,6,17,6,12,6,11,6,11,6,10,6,10,3,1
LSAA_13631,22,67,4,5,4,5,2,3,2,2,2,0,2,0,2,0,2,0,1,0,1,0
LSAA_13632,54,121,6,5,6,5,2,3,1,3,1,3,1,2,1,2,1,2,1,2,1,1
LSAA_13633,18,64,1,6,1,6,1,4,1,4,1,2,1,1,1,1,1,1,1,1,0,0
LSAA_13634,10,16,9,9,9,8,4,5,2,5,2,4,2,4,2,4,2,4,1,2,0,0
LSAA_13635,11,49,4,3,4,2,3,1,3,1,3,0,2,0,2,0,2,0,2,0,1,0
LSAA_13636,45,53,2,4,2,3,1,2,1,2,0,2,0,2,0,2,0,2,0,1,0,1
LSAA_13637,14,24,1,11,1,11,1,7,1,6,1,5,1,5,1,5,1,5,1,5,1,5
LSAA_13639,13,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_13645,29,66,4,10,4,10,4,10,1,1,1,1,1,1,1,1,1,1,1,0,1,0
LSAA_13646,28,76,4,25,4,25,1,13,1,12,1,10,1,9,1,9,1,6,1,5,1,3
LSAA_13647,67,110,7,5,7,5,3,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1
LSAA_13648,39,212,4,20,3,18,1,12,1,12,1,12,0,8,0,8,0,4,0,4,0,3
LSAA_13649,86,168,8,24,8,22,6,15,5,11,4,7,4,7,4,7,3,7,3,7,1,5
LSAA_13650,35,87,13,20,13,20,7,12,5,6,5,4,3,4,3,4,3,4,3,4,1,3
LSAA_13651,139,186,6,15,6,15,3,10,3,9,3,9,1,3,1,3,1,3,1,2,1,2
LSAA_13652,18,53,1,2,1,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
LSAA_13653,38,103,5,28,5,26,3,11,3,8,3,4,3,2,3,2,3,2,3,2,2,2
LSAA_13654,11,19,2,6,2,6,0,4,0,3,0,3,0,3,0,3,0,3,0,3,0,2
LSAA_13655,1,5,0,6,0,6,0,4,0,4,0,4,0,2,0,2,0,2,0,0,0,0
LSAA_13658,28,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_13659,25,101,10,16,10,16,5,5,5,5,4,5,4,5,4,5,4,5,4,5,4,5
LSAA_1366,22,46,0,2,0,2,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1
LSAA_13660,24,51,9,6,9,6,4,4,3,3,2,3,2,3,2,3,1,2,0,1,0,1
LSAA_13661,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_13664,64,74,5,4,5,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
LSAA_13666,19,25,2,4,2,4,1,4,1,4,1,3,1,3,1,3,1,3,1,3,1,1
LSAA_13673,20,31,0,3,0,3,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
LSAA_13674,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_13675,10,45,4,12,4,12,2,4,2,3,1,3,1,2,1,2,1,2,1,2,0,2
LSAA_13677,10,29,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_13683,26,123,3,12,3,12,0,5,0,2,0,2,0,2,0,2,0,0,0,0,0,0
LSAA_13684,22,88,3,8,3,8,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_13685,35,36,10,9,10,9,9,8,7,6,5,4,5,4,5,4,4,3,3,2,3,2
LSAA_13686,10,48,3,6,3,6,2,5,2,5,2,5,2,5,2,5,1,4,0,2,0,2
LSAA_13688,11,25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_13689,56,77,3,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_1369,11,10,2,1,2,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1
