Gene,Scaffold,Syn.sites,Non.sites,Linkage,SPM.F,SPM.Bias
LSAA_12538,HG994585.1,77.66666667,309.3333333,A,0.003590522,Male
LSAA_12539,HG994585.1,104.6666667,360.3333333,A,0.21428565,Unbiased
LSAA_1254,HG994580.1,397,1487,A,0.396157856,Unbiased
LSAA_12540,HG994585.1,125.6666667,420.3333333,A,0.618805839,Unbiased
LSAA_12541,HG994585.1,477,1575,A,0.230223637,Unbiased
LSAA_12542,HG994585.1,133.3333333,433.6666667,A,0.174703221,Male
LSAA_12543,HG994585.1,369,1377,A,0.003673734,Male
LSAA_12544,HG994585.1,133.3333333,466.6666667,A,0.44057256,Unbiased
LSAA_12545,HG994585.1,814.3333333,2980.666667,A,0.545209885,Unbiased
LSAA_12546,HG994585.1,191.3333333,705.6666667,A,0.056116558,Male
LSAA_12547,HG994585.1,380.6666667,1239.333333,A,0.014864778,Male
LSAA_12548,HG994585.1,625.6666667,2002.333333,A,0.089954688,Male
LSAA_12549,HG994585.1,85.33333333,352.6666667,A,0.052334237,Male
LSAA_1255,HG994580.1,399.6666667,1160.333333,A,0,Male
LSAA_12550,HG994585.1,93,363,A,0,Male
LSAA_12551,HG994585.1,268.6666667,946.3333333,A,0.466552645,Unbiased
LSAA_12552,HG994585.1,783.3333333,2693.666667,A,0.189987974,Male
LSAA_12553,HG994585.1,195.6666667,767.3333333,A,0.146907457,Male
LSAA_12554,HG994585.1,403.6666667,1363.333333,A,1,Female
LSAA_12555,HG994585.1,159,579,A,0.285589145,Unbiased
LSAA_12556,HG994585.1,430,1547,A,0.239957399,Unbiased
LSAA_12557,HG994585.1,58.33333333,217.6666667,A,5.45e-05,Male
LSAA_12558,HG994585.1,89,307,A,0.55526135,Unbiased
LSAA_12559,HG994585.1,152.3333333,534.6666667,A,0.186877354,Male
LSAA_1256,HG994580.1,102,408,A,0.211851172,Unbiased
LSAA_12560,HG994585.1,546.6666667,1868.333333,A,0.529919145,Unbiased
LSAA_12561,HG994585.1,79.33333333,241.6666667,A,0.033909499,Male
LSAA_12562,HG994585.1,77.33333333,303.6666667,A,0.827828817,Female
LSAA_12563,HG994585.1,84,339,A,0.633041649,Unbiased
LSAA_12564,HG994585.1,290.6666667,1080.333333,A,NA,Unbiased
LSAA_12565,HG994585.1,261.3333333,968.6666667,A,0.006826127,Male
LSAA_12566,HG994585.1,340.3333333,1162.666667,A,0.811855203,Female
LSAA_12567,HG994585.1,424,1571,A,0.408960578,Unbiased
LSAA_12568,HG994585.1,90,333,A,0.031968082,Male
LSAA_12569,HG994585.1,162.3333333,605.6666667,A,0.361956613,Unbiased
LSAA_1257,HG994580.1,123.3333333,497.6666667,A,0.598295466,Unbiased
LSAA_12570,HG994585.1,232.6666667,862.3333333,A,0.31886395,Unbiased
LSAA_12571,HG994585.1,61.66666667,211.3333333,A,0.400161483,Unbiased
LSAA_12572,HG994585.1,262.3333333,895.6666667,A,0.853115892,Female
LSAA_12573,HG994585.1,68.33333333,240.6666667,A,0.520222552,Unbiased
LSAA_12574,HG994585.1,375,1272,A,0.800015875,Female
LSAA_12575,HG994585.1,405,1458,A,0.711816964,Unbiased
LSAA_12576,HG994585.1,185.3333333,747.6666667,A,0.215061407,Unbiased
LSAA_12577,HG994585.1,231.3333333,806.6666667,A,0.080841469,Male
LSAA_12578,HG994585.1,356,1321,A,0.464684672,Unbiased
LSAA_12579,HG994585.1,153.6666667,608.3333333,A,0,Male
LSAA_1258,HG994580.1,822,3081,A,0.283111664,Unbiased
LSAA_12580,HG994585.1,218.3333333,792.6666667,A,0.544214732,Unbiased
LSAA_12581,HG994585.1,135.3333333,479.6666667,A,0.507904007,Unbiased
LSAA_12582,HG994585.1,214,779,A,0.289333852,Unbiased
LSAA_12583,HG994585.1,410,1417,A,0.34923738,Unbiased
LSAA_12584,HG994585.1,80.66666667,279.3333333,A,0.539680914,Unbiased
LSAA_12585,HG994585.1,197.3333333,696.6666667,A,0.059963068,Male
LSAA_12586,HG994585.1,256.3333333,1009.666667,A,0.372091014,Unbiased
LSAA_12587,HG994586.1,99,351,A,0.647895047,Unbiased
LSAA_12588,HG994586.1,136,494,A,0.726940873,Unbiased
LSAA_12589,HG994586.1,221.6666667,771.3333333,A,0.892971004,Female
LSAA_1259,HG994580.1,155.6666667,510.3333333,A,0.381068313,Unbiased
LSAA_12590,HG994586.1,71,262,A,0.404936856,Unbiased
LSAA_12591,HG994586.1,258.3333333,833.6666667,A,0.217162819,Unbiased
LSAA_12592,HG994586.1,82.33333333,301.6666667,A,0.337411288,Unbiased
LSAA_12593,HG994586.1,112.3333333,370.6666667,A,0,Male
LSAA_12594,HG994586.1,301.6666667,1069.333333,A,0.396691191,Unbiased
LSAA_12595,HG994586.1,627.3333333,2243.666667,A,0.326424633,Unbiased
LSAA_12596,HG994586.1,125.6666667,525.3333333,A,0.982084451,Female
LSAA_12597,HG994586.1,661.6666667,2254.333333,A,0.341466062,Unbiased
LSAA_12598,HG994586.1,407,1528,A,0.433943404,Unbiased
LSAA_12599,HG994586.1,292.6666667,967.3333333,A,0.871161811,Female
LSAA_126,CAJNVT010000020.1,535.3333333,1792.666667,A,0.871698409,Female
LSAA_1260,HG994580.1,392.6666667,1344.333333,A,0.378862928,Unbiased
LSAA_12600,HG994586.1,1157,4396,A,0.354773592,Unbiased
LSAA_12601,HG994586.1,190.3333333,661.6666667,A,0.192847242,Male
LSAA_12602,HG994586.1,85.66666667,376.3333333,A,0.397911155,Unbiased
LSAA_12603,HG994586.1,689,2848,A,0.753217892,Unbiased
LSAA_12604,HG994586.1,94.33333333,286.6666667,A,0.359754689,Unbiased
LSAA_12605,HG994586.1,91,404,A,0.350674383,Unbiased
LSAA_12606,HG994586.1,419.6666667,1551.333333,A,0.606538547,Unbiased
LSAA_12607,HG994586.1,177,666,A,0.654884736,Unbiased
LSAA_12608,HG994586.1,209.6666667,762.3333333,A,0.960401746,Female
LSAA_12609,HG994586.1,84.33333333,263.6666667,A,NA,Unbiased
LSAA_1261,HG994580.1,334.3333333,1171.666667,A,0.291005532,Unbiased
LSAA_12610,HG994586.1,204.6666667,791.3333333,A,0.636125889,Unbiased
LSAA_12611,HG994586.1,649.3333333,2362.666667,A,0.210086467,Unbiased
LSAA_12612,HG994586.1,865,3137,A,0,Male
LSAA_12613,HG994586.1,170.6666667,699.3333333,A,0.241343436,Unbiased
LSAA_12614,HG994586.1,307.3333333,1072.666667,A,NA,Unbiased
LSAA_12615,HG994586.1,670.3333333,2326.666667,A,0.199068744,Male
LSAA_12616,HG994586.1,302.3333333,1041.666667,A,0.307969464,Unbiased
LSAA_12617,HG994586.1,78,294,A,0.010418182,Male
LSAA_12618,HG994586.1,72,246,A,0.252157075,Unbiased
LSAA_12619,HG994586.1,484.6666667,1786.333333,A,0.951265887,Female
LSAA_1262,HG994580.1,100.6666667,397.3333333,A,0.155624382,Male
LSAA_12620,HG994586.1,132.6666667,479.3333333,A,0.036273893,Male
LSAA_12621,HG994586.1,185.6666667,708.3333333,A,0.272221709,Unbiased
LSAA_12622,HG994586.1,525.3333333,1817.666667,A,0.127545469,Male
LSAA_12623,HG994586.1,368.6666667,1224.333333,A,0.680513276,Unbiased
LSAA_12624,HG994586.1,125.6666667,492.3333333,A,0.366148083,Unbiased
LSAA_12625,HG994586.1,95.66666667,369.3333333,A,0.075689962,Male
LSAA_12626,HG994586.1,345,1275,A,0.635266303,Unbiased
LSAA_12627,HG994586.1,115,470,A,NA,Unbiased
LSAA_12628,HG994586.1,61,254,A,0,Male
LSAA_12629,HG994586.1,132.6666667,548.3333333,A,0.05899271,Male
LSAA_1263,HG994580.1,348.3333333,1256.666667,A,0.994134523,Female
LSAA_12630,HG994586.1,144.6666667,518.3333333,A,0.227335689,Unbiased
LSAA_12631,HG994586.1,722.3333333,2544.666667,A,0.569633286,Unbiased
LSAA_12632,HG994586.1,278.3333333,1068.666667,A,0.355330709,Unbiased
LSAA_12633,HG994586.1,65.33333333,267.6666667,A,0.034673011,Male
LSAA_12634,HG994586.1,203,661,A,0.392808657,Unbiased
LSAA_12635,HG994586.1,327,1299,A,0.940629246,Female
LSAA_12636,HG994586.1,327.6666667,1049.333333,A,NA,Unbiased
LSAA_12637,HG994586.1,249.3333333,962.6666667,A,0.012322584,Male
LSAA_12638,HG994586.1,408.6666667,1379.333333,A,NA,Unbiased
LSAA_12639,HG994586.1,60.66666667,266.3333333,A,0.626615,Unbiased
LSAA_1264,HG994580.1,71.66666667,270.3333333,A,0.15866517,Male
LSAA_12640,HG994586.1,221.6666667,804.3333333,A,0.404267217,Unbiased
LSAA_12641,HG994586.1,206.3333333,789.6666667,A,0.297245285,Unbiased
LSAA_12642,HG994586.1,167,580,A,0.272026391,Unbiased
LSAA_12643,HG994586.1,344.3333333,1143.666667,A,0.344004387,Unbiased
LSAA_12644,HG994586.1,439.3333333,1495.666667,A,0.0685665,Male
LSAA_12645,HG994586.1,139.6666667,484.3333333,A,0.194053149,Male
LSAA_12646,HG994586.1,80,289,A,0.457658212,Unbiased
LSAA_12647,HG994586.1,86,316,A,0.303326703,Unbiased
LSAA_12648,HG994586.1,126.6666667,425.3333333,A,0.632138466,Unbiased
LSAA_12649,HG994586.1,138,537,A,0.648108433,Unbiased
LSAA_1265,HG994580.1,366.6666667,1199.333333,A,0.058560405,Male
LSAA_12650,HG994586.1,195.3333333,752.6666667,A,0.369304421,Unbiased
LSAA_12651,HG994586.1,157.3333333,610.6666667,A,0.133758923,Male
LSAA_12652,HG994586.1,130.6666667,400.3333333,A,0.397274195,Unbiased
LSAA_12653,HG994586.1,285.3333333,917.6666667,A,0.999830899,Female
LSAA_12654,HG994586.1,218.6666667,783.3333333,A,0.836322695,Female
LSAA_12655,HG994586.1,132.3333333,455.6666667,A,0.249497901,Unbiased
LSAA_12656,HG994586.1,277.3333333,970.6666667,A,0.997413922,Female
LSAA_12657,HG994586.1,95.66666667,351.3333333,A,0.30058833,Unbiased
LSAA_12658,HG994586.1,118.3333333,451.6666667,A,0.367506408,Unbiased
LSAA_12659,HG994586.1,400.6666667,1336.333333,A,0.458067428,Unbiased
LSAA_1266,HG994580.1,231.3333333,809.6666667,A,0.330634492,Unbiased
LSAA_12660,HG994586.1,90.66666667,338.3333333,A,0.639668651,Unbiased
LSAA_12661,HG994586.1,173,613,A,0.335968011,Unbiased
LSAA_12662,HG994586.1,160,560,A,0.391071716,Unbiased
LSAA_12663,HG994586.1,106,446,A,0.489505676,Unbiased
LSAA_12664,HG994586.1,370,1235,A,0.067757615,Male
LSAA_12665,HG994586.1,99.66666667,344.3333333,A,0.243812795,Unbiased
LSAA_12666,HG994586.1,823,2981,A,0.375086029,Unbiased
LSAA_12667,HG994586.1,212.3333333,804.6666667,A,0.718190557,Unbiased
LSAA_12668,HG994586.1,321,1194,A,0.492782742,Unbiased
LSAA_12669,HG994586.1,73,281,A,0.292426224,Unbiased
LSAA_1267,HG994580.1,305.6666667,1113.333333,A,0.423558665,Unbiased
LSAA_12670,HG994586.1,311,1210,A,0.336540713,Unbiased
LSAA_12671,HG994586.1,179.6666667,693.3333333,A,0.227194642,Unbiased
LSAA_12672,HG994586.1,326,1282,A,0.529008002,Unbiased
LSAA_12673,HG994586.1,440,1630,A,0.195291756,Male
LSAA_12674,HG994586.1,197.3333333,735.6666667,A,0,Male
LSAA_12675,HG994586.1,463.3333333,1705.666667,A,0.696631792,Unbiased
LSAA_12676,HG994586.1,153.3333333,497.6666667,A,0.343683043,Unbiased
LSAA_12677,HG994586.1,81.66666667,263.3333333,A,0.385623693,Unbiased
LSAA_12678,HG994586.1,274,992,A,0.975594382,Female
LSAA_12679,HG994586.1,157,617,A,0.506145091,Unbiased
LSAA_1268,HG994580.1,164.3333333,585.6666667,A,0.477148327,Unbiased
LSAA_12680,HG994586.1,131,445,A,0.457916686,Unbiased
LSAA_12681,HG994586.1,79,260,A,0.005557642,Male
LSAA_12682,HG994586.1,316.3333333,1108.666667,A,1,Female
LSAA_12683,HG994586.1,89.33333333,333.6666667,A,NA,Unbiased
LSAA_12684,HG994586.1,549.6666667,1724.333333,A,0.488323975,Unbiased
LSAA_12685,HG994586.1,183,726,A,0.508813524,Unbiased
LSAA_12686,HG994586.1,86.66666667,315.3333333,A,0.91754795,Female
LSAA_12687,HG994586.1,48,183,A,0.019145964,Male
LSAA_12688,HG994586.1,972.3333333,3416.666667,A,0.25541932,Unbiased
LSAA_12689,HG994586.1,438.3333333,1610.666667,A,0.594081871,Unbiased
LSAA_1269,HG994580.1,153.3333333,554.6666667,A,0.349123129,Unbiased
LSAA_12690,HG994586.1,86,322,A,0.506119431,Unbiased
LSAA_12691,HG994586.1,72.33333333,260.6666667,A,0.276956445,Unbiased
LSAA_12692,HG994586.1,202,566,A,1,Female
LSAA_12693,HG994586.1,246.3333333,857.6666667,A,0.302625143,Unbiased
LSAA_12694,HG994586.1,67.66666667,250.3333333,A,0.164713358,Male
LSAA_12695,HG994586.1,408.3333333,1412.666667,A,0.997114572,Female
LSAA_12696,HG994586.1,69,267,A,0.002191931,Male
LSAA_12697,HG994586.1,258.3333333,980.6666667,A,0,Male
LSAA_12698,HG994586.1,112,371,A,0.337927148,Unbiased
LSAA_12699,HG994586.1,343.6666667,1372.333333,A,NA,Unbiased
LSAA_127,CAJNVT010000021.1,379.3333333,1312.666667,A,NA,Unbiased
LSAA_1270,HG994580.1,1036,3710,A,0.409679697,Unbiased
LSAA_12700,HG994586.1,241.3333333,820.6666667,A,0.003083693,Male
LSAA_12701,HG994586.1,507,1893,A,0.458489429,Unbiased
LSAA_12702,HG994586.1,202,740,A,0,Male
LSAA_12703,HG994586.1,208,719,A,0.317078397,Unbiased
LSAA_12704,HG994586.1,269.6666667,981.3333333,A,NA,Unbiased
LSAA_12705,HG994586.1,395.3333333,1503.666667,A,0.340865425,Unbiased
LSAA_12706,HG994586.1,521.6666667,1992.333333,A,0.631406969,Unbiased
LSAA_12707,HG994586.1,280.6666667,949.3333333,A,0.915987958,Female
LSAA_12708,HG994586.1,172.6666667,643.3333333,A,0.219888145,Unbiased
LSAA_12709,HG994586.1,185,676,A,0.64821137,Unbiased
LSAA_1271,HG994580.1,246.3333333,782.6666667,A,0.305477769,Unbiased
LSAA_12710,HG994586.1,137.3333333,483.6666667,A,0.1410395,Male
LSAA_12711,HG994586.1,942.6666667,3284.333333,A,0.652977,Unbiased
LSAA_12712,HG994586.1,127.6666667,451.3333333,A,0.405184025,Unbiased
LSAA_12713,HG994586.1,158.3333333,567.6666667,A,0.100623269,Male
LSAA_12714,HG994586.1,216,855,A,0.798940997,Unbiased
LSAA_12715,HG994586.1,211.3333333,751.6666667,A,0.999618466,Female
LSAA_12716,HG994586.1,71.66666667,252.3333333,A,0.800695314,Female
LSAA_12717,HG994586.1,62,256,A,0.303547004,Unbiased
LSAA_12718,HG994586.1,125.3333333,351.6666667,A,0.192162719,Male
LSAA_12719,HG994586.1,564,2181,A,0.445323119,Unbiased
LSAA_1272,HG994580.1,764,2881,A,0.977821583,Female
LSAA_12720,HG994586.1,179.6666667,642.3333333,A,0.127250914,Male
LSAA_12721,HG994586.1,262.6666667,1009.333333,A,0.291663566,Unbiased
LSAA_12722,HG994586.1,167.3333333,627.6666667,A,0,Male
LSAA_12723,HG994586.1,109.6666667,406.3333333,A,0.410357217,Unbiased
LSAA_12724,HG994586.1,476.3333333,1827.666667,A,0.677028884,Unbiased
LSAA_12725,HG994586.1,156.3333333,593.6666667,A,0.298171808,Unbiased
LSAA_12726,HG994586.1,106.3333333,418.6666667,A,0.270120887,Unbiased
LSAA_12727,HG994586.1,340.6666667,1330.333333,A,0.59560073,Unbiased
LSAA_12728,HG994586.1,139.6666667,565.3333333,A,0.902533728,Female
LSAA_12729,HG994586.1,110.6666667,360.3333333,A,0.999493763,Female
LSAA_1273,HG994580.1,426.3333333,1511.666667,A,0.134857923,Male
LSAA_12730,HG994586.1,318.3333333,1121.666667,A,0.179202756,Male
LSAA_12731,HG994586.1,120,450,A,1,Female
LSAA_12732,HG994586.1,347.3333333,1260.666667,A,0.335085126,Unbiased
LSAA_12733,HG994586.1,157.3333333,595.6666667,A,0.531547723,Unbiased
LSAA_12734,HG994586.1,154.6666667,604.3333333,A,0.769652,Unbiased
LSAA_12735,HG994586.1,238,770,A,0.352731235,Unbiased
LSAA_12736,HG994586.1,79.33333333,289.6666667,A,0.379164455,Unbiased
LSAA_12737,HG994586.1,67,260,A,0.220666078,Unbiased
LSAA_12738,HG994586.1,254.3333333,972.6666667,A,0.273388095,Unbiased
LSAA_12739,HG994586.1,403.6666667,1237.333333,A,0,Male
LSAA_1274,HG994580.1,66,282,A,0.303920243,Unbiased
LSAA_12740,HG994586.1,196.6666667,673.3333333,A,0.320656919,Unbiased
LSAA_12741,HG994586.1,1178.666667,3564.333333,A,0.057428527,Male
LSAA_12742,HG994586.1,350,1315,A,0.055699775,Male
LSAA_12743,HG994586.1,359,1258,A,0.224593978,Unbiased
LSAA_12744,HG994586.1,295.6666667,1120.333333,A,0.28631355,Unbiased
LSAA_12745,HG994586.1,749.3333333,2721.666667,A,0.241629907,Unbiased
LSAA_12746,HG994586.1,231.3333333,833.6666667,A,0.136972314,Male
LSAA_12747,HG994586.1,107.6666667,429.3333333,A,0.436374938,Unbiased
LSAA_12748,HG994586.1,1070,3955,A,0.63236669,Unbiased
LSAA_12749,HG994586.1,328.3333333,1309.666667,A,0.993934156,Female
LSAA_1275,HG994580.1,311.6666667,1110.333333,A,0.314751236,Unbiased
LSAA_12750,HG994586.1,87.66666667,308.3333333,A,0.301799404,Unbiased
LSAA_12751,HG994586.1,116.6666667,399.3333333,A,0.676413104,Unbiased
LSAA_12752,HG994586.1,77,271,A,NA,Unbiased
LSAA_12753,HG994586.1,352,1385,A,0.17592791,Male
LSAA_12754,HG994586.1,145,491,A,0.454043139,Unbiased
LSAA_12755,HG994586.1,144.3333333,503.6666667,A,0.957983041,Female
LSAA_12756,HG994586.1,248.6666667,1017.333333,A,0.286724451,Unbiased
LSAA_12757,HG994586.1,382,1352,A,0.754772867,Unbiased
LSAA_12758,HG994586.1,147,534,A,0.39513792,Unbiased
LSAA_12759,HG994586.1,149.3333333,516.6666667,A,0.333188082,Unbiased
LSAA_1276,HG994580.1,373.6666667,1315.333333,A,0.200497597,Unbiased
LSAA_12760,HG994586.1,363.6666667,1283.333333,A,0.053846393,Male
LSAA_12761,HG994586.1,506.3333333,1806.666667,A,0.472453736,Unbiased
LSAA_12762,HG994586.1,250.6666667,889.3333333,A,0.523962,Unbiased
LSAA_12763,HG994586.1,149,583,A,0.173727699,Male
LSAA_12764,HG994586.1,116.3333333,450.6666667,A,0.840081373,Female
LSAA_12765,HG994586.1,147.3333333,530.6666667,A,0.569992237,Unbiased
LSAA_12766,HG994586.1,295,1112,A,0.003459828,Male
LSAA_12767,HG994586.1,175.3333333,622.6666667,A,0,Male
LSAA_12768,HG994586.1,79.33333333,268.6666667,A,0,Male
LSAA_12769,HG994586.1,125,376,A,0.438211251,Unbiased
LSAA_1277,HG994580.1,280.6666667,964.3333333,A,0.267392217,Unbiased
LSAA_12770,HG994586.1,151,593,A,0.606830999,Unbiased
LSAA_12771,HG994586.1,750,2736,A,0.169534339,Male
LSAA_12772,HG994586.1,172,695,A,0.511401622,Unbiased
LSAA_12773,HG994586.1,276,891,A,0.416821823,Unbiased
LSAA_12774,HG994586.1,93,336,A,0.027089089,Male
LSAA_12775,HG994586.1,88.33333333,322.6666667,A,0.083309791,Male
LSAA_12776,HG994586.1,351,1335,A,0.22293675,Unbiased
LSAA_12777,HG994586.1,191.6666667,693.3333333,A,0.22489922,Unbiased
LSAA_12778,HG994586.1,101.3333333,330.6666667,A,0.959505205,Female
LSAA_12779,HG994586.1,198.6666667,770.3333333,A,0.738932742,Unbiased
LSAA_1278,HG994580.1,157,590,A,0.357414171,Unbiased
LSAA_12780,HG994586.1,260.3333333,837.6666667,A,0,Male
LSAA_12781,HG994586.1,110,406,A,0.953508129,Female
LSAA_12782,HG994586.1,241.3333333,796.6666667,A,0.380219038,Unbiased
LSAA_12783,HG994586.1,234.6666667,827.3333333,A,0.189761818,Male
LSAA_12784,HG994586.1,132.6666667,527.3333333,A,0.394746016,Unbiased
LSAA_12785,HG994586.1,206.6666667,750.3333333,A,NA,Unbiased
LSAA_12786,HG994586.1,242.3333333,942.6666667,A,0.449103407,Unbiased
LSAA_12787,HG994586.1,105.6666667,386.3333333,A,0.343218269,Unbiased
LSAA_12788,HG994586.1,86.33333333,324.6666667,A,0,Male
LSAA_12789,HG994586.1,466.6666667,1645.333333,A,0.359417032,Unbiased
LSAA_1279,HG994580.1,595.3333333,2113.666667,A,0.243323938,Unbiased
LSAA_12790,HG994586.1,143,466,A,0.355062396,Unbiased
LSAA_12791,HG994586.1,266.3333333,981.6666667,A,0.706230863,Unbiased
LSAA_12792,HG994586.1,68.66666667,246.3333333,A,0.751119513,Unbiased
LSAA_12793,HG994586.1,243.3333333,872.6666667,A,0.357662445,Unbiased
LSAA_12794,HG994586.1,190.6666667,682.3333333,A,0.449583814,Unbiased
LSAA_12795,HG994586.1,235.6666667,769.3333333,A,0.564259658,Unbiased
LSAA_12796,HG994586.1,184,626,A,0.372842162,Unbiased
LSAA_12797,HG994586.1,432.6666667,1442.333333,A,0.139467818,Male
LSAA_12798,HG994586.1,715.3333333,2938.666667,A,0.536560075,Unbiased
LSAA_12799,HG994586.1,301.6666667,1198.333333,A,0.696746331,Unbiased
LSAA_128,CAJNVT010000021.1,66.66666667,239.3333333,A,0.642127212,Unbiased
LSAA_1280,HG994580.1,682.3333333,2401.666667,A,0.465118556,Unbiased
LSAA_12800,HG994586.1,82.66666667,307.3333333,A,0.402614054,Unbiased
LSAA_12801,HG994586.1,328.3333333,1204.666667,A,0.468869974,Unbiased
LSAA_12802,HG994586.1,75.66666667,287.3333333,A,0.38469843,Unbiased
LSAA_12803,HG994586.1,89.66666667,390.3333333,A,NA,Unbiased
LSAA_12804,HG994586.1,252,951,A,0.999436697,Female
LSAA_12805,HG994586.1,59.66666667,255.3333333,A,0.106901632,Male
LSAA_12806,HG994586.1,107.6666667,426.3333333,A,0.158639423,Male
LSAA_12807,HG994586.1,95.33333333,315.6666667,A,0.245590419,Unbiased
LSAA_12808,HG994586.1,539.6666667,2061.333333,A,0.569959818,Unbiased
LSAA_12809,HG994586.1,94.33333333,307.6666667,A,0.328380798,Unbiased
LSAA_1281,HG994580.1,167.6666667,600.3333333,A,0.308221845,Unbiased
LSAA_12810,HG994586.1,130,473,A,0.010067813,Male
LSAA_12811,HG994586.1,475,1937,A,0.574629494,Unbiased
LSAA_12812,HG994586.1,1327.666667,4561.333333,A,0.251356336,Unbiased
LSAA_12813,HG994586.1,66.66666667,266.3333333,A,0.295641918,Unbiased
LSAA_12814,HG994586.1,620.6666667,2340.333333,A,0.929408741,Female
LSAA_12815,HG994586.1,741.3333333,2633.666667,A,0.767368152,Unbiased
LSAA_12816,HG994586.1,126.3333333,461.6666667,A,0.026224407,Male
LSAA_12817,HG994586.1,75,249,A,0.357529555,Unbiased
LSAA_12818,HG994586.1,80,259,A,0.513879128,Unbiased
LSAA_12819,HG994586.1,120.6666667,419.3333333,A,0.93886539,Female
LSAA_1282,HG994580.1,85.66666667,313.3333333,A,0.235473792,Unbiased
LSAA_12820,HG994586.1,348.3333333,1250.666667,A,0.410657672,Unbiased
LSAA_12821,HG994586.1,185.6666667,741.3333333,A,0.044123055,Male
LSAA_12822,HG994586.1,872.3333333,3138.666667,A,0.879978661,Female
LSAA_12823,HG994586.1,113,430,A,0.040879685,Male
LSAA_12824,HG994586.1,472.6666667,1945.333333,A,0.158312911,Male
LSAA_12825,HG994586.1,139.3333333,577.6666667,A,0.523611559,Unbiased
LSAA_12826,HG994586.1,73.33333333,268.6666667,A,0.221738601,Unbiased
LSAA_12827,HG994586.1,378.6666667,1289.333333,A,0.009531822,Male
LSAA_12828,HG994586.1,600.3333333,2141.666667,A,0,Male
LSAA_12829,HG994586.1,94.66666667,412.3333333,A,0.812686256,Female
LSAA_1283,HG994580.1,125.3333333,459.6666667,A,0.128707953,Male
LSAA_12830,HG994586.1,344,1378,A,0.550920563,Unbiased
LSAA_12831,HG994586.1,376.3333333,1447.666667,A,0.889224873,Female
LSAA_12832,HG994586.1,561.3333333,2012.666667,A,0.535629606,Unbiased
LSAA_12833,HG994586.1,122,442,A,0.10386925,Male
LSAA_12834,HG994586.1,293.6666667,1035.333333,A,0.507154956,Unbiased
LSAA_12835,HG994586.1,97,362,A,NA,Unbiased
LSAA_12836,HG994586.1,255,813,A,0.967349356,Female
LSAA_12837,HG994586.1,425.3333333,1419.666667,A,0.231835326,Unbiased
LSAA_12838,HG994586.1,333.6666667,1157.333333,A,NA,Unbiased
LSAA_12839,HG994586.1,339,1356,A,0.368309907,Unbiased
LSAA_1284,HG994580.1,163.3333333,538.6666667,A,0.975673922,Female
LSAA_12840,HG994586.1,101,361,A,0.078163049,Male
LSAA_12841,HG994586.1,181.3333333,655.6666667,A,0.740956754,Unbiased
LSAA_12842,HG994586.1,194.6666667,708.3333333,A,0,Male
LSAA_12843,HG994586.1,245.3333333,933.6666667,A,0.643202352,Unbiased
LSAA_12844,HG994586.1,69.33333333,263.6666667,A,0.377699893,Unbiased
LSAA_12845,HG994586.1,156.3333333,536.6666667,A,0.664956425,Unbiased
LSAA_12846,HG994586.1,107.3333333,420.6666667,A,0.283986602,Unbiased
LSAA_12847,HG994586.1,80,259,A,0.76200906,Unbiased
LSAA_12848,HG994586.1,64.33333333,238.6666667,A,0.472884169,Unbiased
LSAA_12849,HG994586.1,595,2102,A,0.761737824,Unbiased
LSAA_1285,HG994580.1,240.3333333,911.6666667,A,0.447753761,Unbiased
LSAA_12850,HG994586.1,247,785,A,0.671151931,Unbiased
LSAA_12851,HG994586.1,79.33333333,295.6666667,A,0.7983017,Unbiased
LSAA_12852,HG994586.1,91.66666667,313.3333333,A,0.465483293,Unbiased
LSAA_12853,HG994586.1,115.3333333,397.6666667,A,0.490977296,Unbiased
LSAA_12854,HG994586.1,73,257,A,NA,Unbiased
LSAA_12855,HG994586.1,148.6666667,562.3333333,A,0.535021914,Unbiased
LSAA_12856,HG994586.1,257.3333333,969.6666667,A,0.4362991,Unbiased
LSAA_12857,HG994586.1,407.3333333,1542.666667,A,NA,Unbiased
LSAA_12858,HG994586.1,420.3333333,1523.666667,A,0.287026946,Unbiased
LSAA_12859,HG994586.1,171.3333333,581.6666667,A,NA,Unbiased
LSAA_1286,HG994580.1,163.6666667,628.3333333,A,0.449546032,Unbiased
LSAA_12860,HG994586.1,191,682,A,0,Male
LSAA_12861,HG994586.1,83,307,A,0.004317718,Male
LSAA_12862,HG994586.1,184.3333333,667.6666667,A,0.048847902,Male
LSAA_12863,HG994586.1,590.6666667,2283.333333,A,0.34188145,Unbiased
LSAA_12864,HG994586.1,82.33333333,319.6666667,A,0.340449579,Unbiased
LSAA_12865,HG994586.1,168.3333333,557.6666667,A,0.385938416,Unbiased
LSAA_12866,HG994586.1,356.3333333,1230.666667,A,0.293695937,Unbiased
LSAA_12867,HG994586.1,236.6666667,864.3333333,A,0.656536989,Unbiased
LSAA_12868,HG994586.1,370,1256,A,0.960984549,Female
LSAA_12869,HG994586.1,175.6666667,613.3333333,A,0.312629791,Unbiased
LSAA_1287,HG994580.1,128,496,A,NA,Unbiased
LSAA_12870,HG994586.1,69,273,A,0.181874103,Male
LSAA_12871,HG994586.1,309.6666667,1115.333333,A,0.548808539,Unbiased
LSAA_12872,HG994586.1,218,748,A,0.454207074,Unbiased
LSAA_12873,HG994586.1,219.3333333,725.6666667,A,0.128795288,Male
LSAA_12874,HG994586.1,99.66666667,365.3333333,A,0.0389515,Male
